广东频道,#genre#
player=2
CCTV6,http://45.192.97.170:8880/play/1279.m3u8
CCTV6,http://45.192.97.170:8880/play/1281.m3u8
CCTV6,http://45.192.97.170:8880/play/1282.m3u8
CCTV6,http://45.192.97.170:8880/play/1285.m3u8
CCTV6,http://45.192.97.170:8880/play/1291.m3u8
CCTV6,http://45.192.97.170:8880/play/1516.m3u8
CCTV6,http://45.192.97.170:8880/play/2170.m3u8
CCTV6,http://45.192.97.170:8880/play/2186.m3u8
CCTV6,http://45.192.97.170:8880/play/2370.m3u8
CCTV6,http://45.192.97.170:8880/play/2371.m3u8
CCTV6,http://45.192.97.170:8880/play/2565.m3u8
CCTV6,http://45.192.97.170:8880/play/2729.m3u8
CCTV6,http://45.192.97.170:8880/play/2771.m3u8
CCTV6,http://45.192.97.170:8880/play/3008.m3u8
CCTV6,http://45.192.97.170:8880/play/3279.m3u8
CCTV6,http://45.192.97.170:8880/play/3343.m3u8
CCTV6,http://45.192.97.170:8880/play/3416.m3u8
CCTV6,http://45.192.97.170:8880/play/3568.m3u8
CCTV6,http://45.192.97.170:8880/play/3704.m3u8
CCTV6,http://45.192.97.170:8880/play/3705.m3u8
CCTV6,http://45.192.97.170:8880/play/3912.m3u8
CCTV6,http://45.192.97.170:8880/play/4031.m3u8
CCTV6,http://45.192.97.170:8880/play/4156.m3u8
CCTV6,http://45.192.97.170:8880/play/4284.m3u8
CCTV7,http://47.120.5.28:1234/673168121
CCTV7,http://223.83.177.142:1234/673168121
CCTV7,http://45.192.97.170:8880/play/8.m3u8
CCTV7,http://45.192.97.170:8880/play/309.m3u8
CCTV7,http://45.192.97.170:8880/play/369.m3u8
CCTV7,http://45.192.97.170:8880/play/434.m3u8
CCTV7,http://45.192.97.170:8880/play/472.m3u8
CCTV7,http://45.192.97.170:8880/play/497.m3u8
CCTV7,http://45.192.97.170:8880/play/561.m3u8
CCTV7,http://45.192.97.170:8880/play/587.m3u8
CCTV7,http://45.192.97.170:8880/play/709.m3u8
CCTV7,http://45.192.97.170:8880/play/751.m3u8
CCTV7,http://45.192.97.170:8880/play/801.m3u8
CCTV7,http://45.192.97.170:8880/play/843.m3u8
CCTV7,http://45.192.97.170:8880/play/885.m3u8
CCTV7,http://45.192.97.170:8880/play/931.m3u8
CCTV7,http://45.192.97.170:8880/play/987.m3u8
CCTV7,http://45.192.97.170:8880/play/988.m3u8
CCTV7,http://45.192.97.170:8880/play/1057.m3u8
CCTV7,http://45.192.97.170:8880/play/2171.m3u8
CCTV7,http://45.192.97.170:8880/play/2187.m3u8
CCTV7,http://45.192.97.170:8880/play/2372.m3u8
CCTV7,http://45.192.97.170:8880/play/2373.m3u8
CCTV7,http://45.192.97.170:8880/play/2566.m3u8
CCTV7,http://45.192.97.170:8880/play/2632.m3u8
CCTV7,http://45.192.97.170:8880/play/2670.m3u8
CCTV7,http://45.192.97.170:8880/play/2730.m3u8
CCTV7,http://45.192.97.170:8880/play/2772.m3u8
CCTV7,http://45.192.97.170:8880/play/3009.m3u8
CCTV7,http://45.192.97.170:8880/play/3280.m3u8
CCTV7,http://45.192.97.170:8880/play/3344.m3u8
CCTV7,http://45.192.97.170:8880/play/3345.m3u8
CCTV7,http://45.192.97.170:8880/play/3417.m3u8
CCTV7,http://45.192.97.170:8880/play/3569.m3u8
CCTV7,http://45.192.97.170:8880/play/3706.m3u8
CCTV7,http://45.192.97.170:8880/play/3913.m3u8
CCTV7,http://45.192.97.170:8880/play/4032.m3u8
CCTV7,http://45.192.97.170:8880/play/4157.m3u8
CCTV7,http://45.192.97.170:8880/play/4285.m3u8
CCTV8,http://47.120.5.28:1234/624878356
CCTV8,http://223.83.177.142:1234/624878356
CCTV8,http://45.192.97.170:8880/play/9.m3u8
CCTV8,http://45.192.97.170:8880/play/310.m3u8
CCTV8,http://45.192.97.170:8880/play/370.m3u8
